LR,f1,accuracy,geom_mean,roc_auc,fit_time,score_time
Train LR,0.7521205617543586,0.750932470996899,0.737489356361679,0.8549412426471156,0.6035945415496826,0.027462323506673176
Test LR,0.7578900784407363,0.7565876581591882,0.7436060050327818,0.8572906372566452,0.10614633560180664,0.008001963297526041
