RF - best on test,f1_score,f1_macro,bal_acc,moy_geom,roc_auc
RF : class_weight=none,0.6202099405589985,0.7359604835874841,0.786806275903452,0.7868062543412848,0.7868062759034521
RF : class_weight=balanced,0.6194882961350027,0.7347602390351049,0.7871904324737367,0.7871793000099768,0.7871904324737367
"RF : class_weight={0:x,1:1-x}",0.620052105218926,0.7355155377436182,0.787147003688698,0.7871439371906992,0.787147003688698
