DT,f1,accuracy,geom_mean,roc_auc,fit_time,score_time
Train DT,0.748751273481485,0.7496647616518878,0.7369150612855911,0.8453800523105458,0.31021777788798016,0.0396120548248291
Test DT,0.7370125749149361,0.7369838587441642,0.7220481280074106,0.8166661951854537,0.058834473292032875,0.01008137067159017
