LR - best on test,f1_score,f1_macro,bal_acc,moy_geom,roc_auc
LR : class_weight=none,0.6001494768310912,0.7203429947493757,0.7724261890374244,0.7724258121242088,0.7724261890374244
LR : class_weight=balanced,0.6002075980900976,0.7203790147300246,0.7724796821368146,0.77247925055605,0.7724796821368145
"LR : class_weight={0:x,1:1-x}",0.5999086644247934,0.7201606680131485,0.7722431918930679,0.772242844876621,0.772243191893068
