Cross validation,f1_macro,bal_acc,moy_geom,roc_auc,fit_time,score_time
rf0 : train,0.7524738534918957,0.723552406332573,0.6860176602756461,0.8717221587591139,10.696119785308838,1.7785766919453938
rf0 : test,0.7490868785459078,0.7192653404180044,0.6791887653264935,0.8661434212048414,4.266405344009399,0.656883955001831
rf1 : train,0.7692947344381036,0.7599490519280699,0.7438684667262803,0.8727445919996893,10.062423149744669,1.7620902061462402
rf1 : test,0.7641952462778686,0.753713866263534,0.7359491692450578,0.8673792925125662,3.9843835830688477,0.6474655469258627
rf2 : train,0.7545764757428479,0.7273260016850931,0.692459049178765,0.8718093446279456,10.781558752059937,1.8042746384938557
rf2 : test,0.7510390132188914,0.7223983898386445,0.6845849349233255,0.8666865290594368,4.248944282531738,0.693121592203776
