Cross validation,f1_macro,bal_acc,moy_geom,roc_auc,fit_time,score_time
lr0 : train,0.774571790110795,0.7745951268099077,0.7745285869398838,0.8561975618654083,0.06281312306722005,0.011477390925089518
lr0 : test,0.7385993268049592,0.7133523942823197,0.6751999368660963,0.8543381696982854,0.0818635622660319,0.01141961415608724
lr1 : train,0.7745488419929739,0.7745722456091023,0.7745055115238163,0.8561970907503319,0.210129181543986,0.010181506474812826
lr1 : test,0.7242175161392518,0.7716626959754853,0.7715538847625516,0.8546313631223459,0.18895641962687174,0.011144876480102539
lr2 : train,0.7745488620290738,0.7745722456091023,0.7745055724691134,0.856196946241229,0.05823040008544922,0.011480967203776041
lr2 : test,0.7385984163701909,0.7133754963007157,0.6752526814030765,0.8543371253917753,0.07063110669453938,0.014553149541219076
