DT,f1,accuracy,geom_mean,roc_auc,fit_time,score_time
Train DT,0.7664713758340862,0.7668666266746652,0.7657640949236222,0.8436002925389726,0.09559281667073567,0.013301769892374674
Test DT,0.715053993813023,0.6882983906385386,0.6371517880741907,0.8209319400990885,0.05388418833414713,0.008634169896443685
