SVM,f1,accuracy,geom_mean,roc_auc,fit_time,score_time
Train SVM,0.7428370434689966,0.7643884589283184,0.7603435129134231,0.8393787703702755,5097.405761241913,327.87467908859253
Test SVM,0.7296874946893842,0.7311459098184544,0.7162265565403958,0.8218068285065363,192.07227698961893,23.654977321624756
