DT - best on test,f1_score,f1_macro,bal_acc,moy_geom,roc_auc
DT : class_weight=none,0.5874672577070321,0.7079376885930357,0.7655724966815249,0.7654398655986389,0.7655724966815249
DT : class_weight=balanced,0.58759521218716,0.7080380646846194,0.7656715963482608,0.7655388355923501,0.7656715963482608
"DT : class_weight={0:x,1:1-x}",0.589260751582929,0.7115907428615535,0.764617655429169,0.7646149195174163,0.764617655429169
