Cross validation,f1_macro,bal_acc,moy_geom,roc_auc,fit_time,score_time
dt0 : train,0.7352738812890731,0.713295400308153,0.6780276467270011,0.8298587772820668,0.26204919815063477,0.02637656529744466
dt0 : test,0.7262885699597104,0.7041533082375392,0.6651581875267958,0.8091962762376682,0.1117703914642334,0.01406113306681315
dt1 : train,0.7271776902353732,0.764120760165329,0.7630790230406896,0.8386170263039037,0.261764923731486,0.03628993034362793
dt1 : test,0.7035526662301885,0.7516745198253,0.751293167905679,0.8156206996226899,0.0973356564839681,0.014905691146850586
dt2 : train,0.7458636586849504,0.7371809297351731,0.7175606540816709,0.8294653299965802,0.2812767028808594,0.03233631451924642
dt2 : test,0.7353330557653095,0.7274910690484541,0.706648299194427,0.8061072367946682,0.12982686360677084,0.011469523111979166
